,text,pos_tag,session,tier_name,start_time,end_time
171,ja,ADV,r1A,ORT-MAU,749.453062,749.650188
172,ja,ADV,r1A,ORT-MAU,750.017375,750.1645
173,ja,ADV,r1A,ORT-MAU,750.1645,750.25975
174,dann,ADV,r1A,ORT-MAU,750.476167,750.663292
175,haben,AUX,r1A,ORT-MAU,750.663292,750.923292
176,wir,PRON,r1A,ORT-MAU,750.923292,751.023292
177,fünf-,X,r1A,ORT-MAU,751.023292,751.353292
178,dann,ADV,r1A,ORT-MAU,751.353292,751.383292
179,haben,AUX,r1A,ORT-MAU,751.383292,751.493292
180,wir,PRON,r1A,ORT-MAU,751.493292,751.583292
181,fünfzig,NUM,r1A,ORT-MAU,751.583292,752.013292
182,schon,ADV,r1A,ORT-MAU,752.013292,752.143292
183,mal,ADV,r1A,ORT-MAU,752.143292,752.253292
184,weg,ADV,r1A,ORT-MAU,752.253292,752.383292
185,ja,ADV,r1A,ORT-MAU,757.063542,757.480667
186,auch,ADV,r1A,ORT-MAU,758.311708,758.478833
187,fünfundzwanzig,ADV,r1A,ORT-MAU,758.478833,759.263896
188,ja,ADV,r1A,ORT-MAU,765.626208,765.933333
189,ja,ADV,r1A,ORT-MAU,766.122417,766.222417
190,ja,ADV,r1A,ORT-MAU,766.338833,766.597375
191,ja,ADV,r1A,ORT-MAU,767.160021,767.347146
192,okay,ADV,r1A,ORT-MAU,768.285333,768.542458
193,dann,ADV,r1A,ORT-MAU,768.542458,768.672458
194,brauchen,VERB,r1A,ORT-MAU,768.672458,768.882458
195,wir,PRON,r1A,ORT-MAU,768.882458,768.952458
196,noch,ADV,r1A,ORT-MAU,768.952458,769.292458
197,Badezimmer,NOUN,r1A,ORT-MAU,770.052458,770.622458
198,können,AUX,r1A,ORT-MAU,770.682458,770.832458
199,wir,PRON,r1A,ORT-MAU,770.832458,770.932458
200,zwanzig,NUM,r1A,ORT-MAU,771.202458,771.860354
201,also,ADV,r1A,ORT-MAU,787.772604,788.222604
202,meinst,ADV,r1A,ORT-MAU,788.222604,788.492604
203,du,PRON,r1A,ORT-MAU,788.492604,788.582604
204,das,PRON,r1A,ORT-MAU,788.582604,788.722604
205,ist,AUX,r1A,ORT-MAU,788.722604,788.832604
206,Strafe,NOUN,r1A,ORT-MAU,788.832604,789.242604
207,genug,ADV,r1A,ORT-MAU,789.242604,789.562604
208,oder,CCONJ,r1A,ORT-MAU,789.642604,789.802604
209,was,PRON,r1A,ORT-MAU,789.802604,789.892604
210,also,ADV,r1A,ORT-MAU,794.111792,794.248917
211,wir,PRON,r1A,ORT-MAU,794.248917,794.358917
212,waren,AUX,r1A,ORT-MAU,794.358917,794.538917
213,jetzt,ADV,r1A,ORT-MAU,794.538917,794.658917
214,g-,NOUN,r1A,ORT-MAU,794.658917,794.708917
215,bei,ADP,r1A,ORT-MAU,794.888917,795.288917
216,wieviel,ADV,r1A,ORT-MAU,795.348917,795.578917
217,Quadratm-,X,r1A,ORT-MAU,795.578917,796.171979
218,achtzig,ADV,r1A,ORT-MAU,796.171979,796.599104
219,genau,ADV,r1A,ORT-MAU,796.649104,796.899104
220,dann,ADV,r1A,ORT-MAU,797.757729,797.854854
221,brauchen,VERB,r1A,ORT-MAU,797.854854,798.414854
222,wir,PRON,r1A,ORT-MAU,798.414854,798.634854
223,gut,ADV,r1A,ORT-MAU,798.874854,799.004854
224,dann,ADV,r1A,ORT-MAU,799.004854,799.134854
225,ma-,X,r1A,ORT-MAU,799.134854,799.304854
226,ja,ADV,r1A,ORT-MAU,805.383854,805.851292
227,ja,ADV,r1A,ORT-MAU,806.216521,806.313646
228,ja,ADV,r1A,ORT-MAU,806.313646,806.413646
229,aber,CCONJ,r1A,ORT-MAU,806.413646,806.693646
230,das,PRON,r1A,ORT-MAU,806.693646,806.733646
231,wär,AUX,r1A,ORT-MAU,806.733646,806.973646
